n_robots,rule,pose_rmse_n,pose_rmse_mean,pose_rmse_sd,pose_rmse_ci95_lo,pose_rmse_ci95_hi,pose_rmse_median,align_rmse_n,align_rmse_mean,align_rmse_sd,align_rmse_ci95_lo,align_rmse_ci95_hi,align_rmse_median,gamma_n,gamma_mean,gamma_sd,gamma_ci95_lo,gamma_ci95_hi,gamma_median,n_delivered_n,n_delivered_mean,n_delivered_sd,n_delivered_ci95_lo,n_delivered_ci95_hi,n_delivered_median
4,fixed 0.003,30,0.3607863556455529,0.12641208969530843,0.31358330559290937,0.4079894056981964,0.334148750517677,30,0.18020576177949554,0.06200245499742045,0.15705366458939082,0.20335785896960026,0.1572233372390207,30,0.003000000000000001,8.821895084505784e-19,0.0030000000000000005,0.0030000000000000014,0.003,30,48.0,0.0,48.0,48.0,48.0
4,drift derived,30,0.40836128843027614,0.17968504129988966,0.3412657913252647,0.4754567855352876,0.37799748217666596,30,0.23087146142796602,0.11214712037632675,0.18899503845969626,0.27274788439623576,0.20077819583060647,30,0.03327106466687737,7.057516067604627e-18,0.03327106466687737,0.03327106466687737,0.033271064666877376,30,48.0,0.0,48.0,48.0,48.0
4,drift adaptive,30,0.42137245413989327,0.20183697018135285,0.3460052908495145,0.49673961743027206,0.4000222910350589,30,0.2388039231464474,0.13477954815664836,0.18847641275527105,0.28913143353762377,0.20772188081188103,30,0.041030219071262815,0.001732220862076703,0.04038339717114297,0.04167704097138266,0.04070493822482516,30,47.06666666666667,1.7005746155310286,46.43166166921234,47.701671664121,48.0
4,deferral derived,30,0.3832947012874421,0.14342224477713922,0.32973995494003594,0.43684944763484823,0.3629017482456741,30,0.18475211522712903,0.05787266288028729,0.16314210775709706,0.206362122697161,0.15830116758049517,30,0.00447191729393513,8.821895084505784e-19,0.00447191729393513,0.00447191729393513,0.004471917293935131,30,48.0,0.0,48.0,48.0,48.0
4,deferral adaptive,30,0.4481353925615391,0.20947497303998852,0.3699161521311699,0.5263546329919083,0.39844308371135395,30,0.2850896622632068,0.13083483228990153,0.23623513298444077,0.33394419154197286,0.24512734799908803,30,0.26948912113248824,0.6903660230079741,0.011702211532027107,0.5272760307329494,0.003083780265242947,30,46.333333333333336,2.8324880415894307,45.27566491630991,47.391001750356764,48.0
5,fixed 0.003,30,0.3640067389198716,0.10603857839505049,0.3244112830140549,0.4036021948256883,0.3716932990787012,30,0.2500004796996661,0.18726284133353355,0.1800753855589663,0.3199255738403659,0.18480185376610786,30,0.003000000000000001,8.821895084505784e-19,0.0030000000000000005,0.0030000000000000014,0.003,30,60.0,0.0,60.0,60.0,60.0
5,drift derived,30,0.36613975157269557,0.12832930103248189,0.31822080304128925,0.4140587001041019,0.34019466947854493,30,0.35357938919808163,0.36364099299215064,0.21779361083800336,0.4893651675581599,0.23230396739695297,30,0.03327106466687737,7.057516067604627e-18,0.03327106466687737,0.03327106466687737,0.033271064666877376,30,60.0,0.0,60.0,60.0,60.0
5,drift adaptive,30,0.3706467607344425,0.1313095192592661,0.32161498042827663,0.4196785410406084,0.34186166878155305,30,0.37322407055934187,0.3718162616389295,0.2343855967169103,0.5120625444017735,0.238452015168098,30,0.039846753608760596,0.003233268017996174,0.03863943148905712,0.04105407572846407,0.03895029499422813,30,60.0,0.0,60.0,60.0,60.0
5,deferral derived,30,0.36315416849109283,0.12117072212291535,0.31790827725498577,0.4084000597271999,0.359204349856343,30,0.2609145155019481,0.18517479823715613,0.191769109467251,0.3300599215366452,0.18686021688631646,30,0.00447191729393513,8.821895084505784e-19,0.00447191729393513,0.00447191729393513,0.004471917293935131,30,60.0,0.0,60.0,60.0,60.0
5,deferral adaptive,30,0.3977060366741251,0.13326689406316172,0.3479433606042489,0.44746871274400124,0.4037150613194599,30,0.43861370617001444,0.3139874926551804,0.32136884954728123,0.5558585627927476,0.3393933436181145,30,0.601959035469891,0.9308790249956602,0.25436309495711484,0.9495549759826672,0.00266641865959943,30,60.0,0.0,60.0,60.0,60.0
