n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
3,13,deferral derived,0.41634198273745976,0.21228289777596032,0.004471917293935131,36,0.345864946006754,0.5168355555555555,-97.54419911111114
3,13,deferral adaptive,0.30335582038173603,0.16561900755332506,0.005692121970233582,28,0.3665434891643366,0.5141942857142857,-49.197504000000016
3,14,fixed 0.003,0.41394085481937676,0.21175601180677012,0.003,36,0.3058766231570998,0.5168355555555555,-95.1202737777778
3,14,drift derived,0.476989521640069,0.2094172761277017,0.033271064666877376,36,0.10122057997902632,0.5147022222222223,-153.77849955555558
3,14,drift adaptive,0.43481398323705095,0.19925396213234267,0.04421799855251701,31,0.07282915921997958,0.5149316129032259,-94.0465135483871
3,14,deferral derived,0.40980670417449244,0.21201165506475106,0.004471917293935131,36,0.23635879864792075,0.5168355555555555,-98.74393600000002
3,14,deferral adaptive,0.4839355288779095,0.19633374291401545,0.003903961046175265,29,0.23564898506036755,0.5132800000000001,-76.31045296551726
3,15,fixed 0.003,0.415947029244968,0.20350234084081412,0.003,36,0.4269645993319551,0.5189688888888888,-91.71746844444445
3,15,drift derived,0.42920597701995467,0.20269107591527277,0.033271064666877376,36,0.25920331730895546,0.5154133333333333,-126.32918400000001
3,15,drift adaptive,0.4432458345059372,0.2050712029264968,0.04782196302398465,34,0.29694251095097857,0.5155388235294117,-87.27721411764708
3,15,deferral derived,0.4384391871740867,0.21893363341753672,0.004471917293935131,36,0.3731084364699225,0.5189688888888888,-97.79010844444446
3,15,deferral adaptive,0.4736560825182559,0.21060219039773143,0.003792677507583132,30,0.40526707459460737,0.51584,-67.24592213333335
3,11,fixed 0.003,0.41991061426430454,0.18603967085048517,0.003,36,0.333106826062976,0.5168355555555555,-93.76888533333336
3,11,drift derived,0.33551984781529687,0.17512756663285448,0.033271064666877376,36,0.220238510108764,0.5161244444444444,-135.82450133333336
3,11,drift adaptive,0.3384532401232859,0.17053851270366066,0.047910841056813584,34,0.23447961065533093,0.5162917647058823,-84.94190682352942
3,11,deferral derived,0.2887795694778517,0.16246449760442822,0.004471917293935131,36,0.3679028559496863,0.5168355555555555,-143.93684622222221
3,11,deferral adaptive,0.3850767959395097,0.19308226943419143,2.0,28,0.5278522301447384,0.5132800000000001,0.37029485714284627
3,10,fixed 0.003,0.24705172005590034,0.1254280417807981,0.003,36,0.34415347264495,0.5196799999999999,-152.12663111111112
3,10,drift derived,0.40552693975673126,0.235393083348548,0.033271064666877376,36,0.15144682201460535,0.5154133333333333,-124.92576000000001
