n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
2,17,deferral derived,0.315099243284205,0.1971651984343556,0.004471917293935131,48,0.38057991847887473,0.6936177777777778,-62.77402133333336
2,17,deferral adaptive,0.4677195949767169,0.26035015583016297,0.008782753239451,32,0.33444415586940457,0.5826021052631584,-24.456272000000013
2,18,fixed 0.003,0.28285365356535525,0.17512793403562718,0.003,48,0.47327767046752495,0.6907733333333334,-26.325277333333332
2,18,drift derived,0.5486121971207921,0.2443295071478491,0.033271064666877376,46,0.29608588416862675,0.6932776811594206,-64.23061982608696
2,18,drift adaptive,0.5629791101950172,0.24546478002305666,0.05055854814597384,37,0.4249493109830249,0.6717529824561408,-15.2283917837838
2,18,deferral derived,0.2793798265510483,0.18128708656146977,0.004471917293935131,48,0.4142094923408364,0.6907733333333334,-63.78430133333335
2,18,deferral adaptive,0.4089748144234836,0.20294591972510492,2.0,24,0.5599766164544389,0.461937777777778,1.7602453333333254
2,19,fixed 0.003,0.24133317447622987,0.12464652541987642,0.003,48,0.5595562882428994,0.6900622222222222,-16.931144000000035
2,19,drift derived,0.19318782081224872,0.19333505145058022,0.033271064666877376,46,0.403713445896493,0.6895675362318844,-62.004335304347855
2,19,drift adaptive,0.2430044005300455,0.19030133211834482,0.05159590492623493,39,0.5053146358296008,0.6715306666666672,-16.640945230769248
2,19,deferral derived,0.24232323371006645,0.13355465558827825,0.004471917293935131,48,0.5220437403500756,0.6900622222222222,-64.40234933333335
2,19,deferral adaptive,0.39860536640773303,0.28271031851119266,2.0,20,0.6333370013260706,0.38020740740740766,3.11047679999999
2,20,fixed 0.003,0.7031715912295499,0.2813258108301867,0.003,48,0.3582475026777198,0.69504,-25.266928000000025
2,20,drift derived,0.584049884184364,0.29239152352167663,0.033271064666877376,47,0.20874399906039953,0.6750933333333335,-83.3544605957447
2,20,drift adaptive,0.5853456377534111,0.26277872985230866,0.05064491561349793,39,0.255712256098981,0.6715306666666672,-30.968454564102583
2,20,deferral derived,0.6223856083080094,0.27883634467267343,0.004471917293935131,48,0.3031565074700973,0.69504,-57.07882933333334
2,20,deferral adaptive,0.573081732313235,0.27002916887707856,1.3313129369897103,28,0.35120168019748543,0.5379792592592597,1.266998857142844
2,21,fixed 0.003,0.2643132001128528,0.1305520158871465,0.003,48,0.40118797957577296,0.6907733333333334,17.096455999999943
2,21,drift derived,0.24445903390516052,0.1511745990017115,0.033271064666877376,47,0.25159907648678753,0.677226666666667,-76.73690961702131
2,21,drift adaptive,0.24932273958961332,0.15385290404042842,0.05133102051313169,38,0.3860089121632199,0.6924575438596496,-9.195910736842123
2,21,deferral derived,0.2555842480281493,0.1420336992313735,0.004471917293935131,48,0.35816251025290224,0.689351111111111,-27.828808000000024
2,21,deferral adaptive,0.33655553143425765,0.15326346621090275,2.0,20,0.4338099736662384,0.3849481481481484,1.5552383999999893
2,22,fixed 0.003,0.24186808832701567,0.18787551302460453,0.003,48,0.3010847589660522,0.6957511111111111,-20.32220266666668
