relative_path,filename,session,policy,robot,file_type,size_bytes,sha256,validation_status
HWS-119-FIFO/logs/clock_limo02_start.txt,clock_limo02_start.txt,HWS-119-FIFO,FIFO,limo02,txt,19,f655c4f66839471b24ea9525c40e5c4da9c35773d002924ac5405ad7bb72e19c,VALID
HWS-119-FIFO/logs/received_server.csv,received_server.csv,HWS-119-FIFO,FIFO,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-119-FIFO/logs/serial_limo01.csv,serial_limo01.csv,HWS-119-FIFO,FIFO,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-119-FIFO/logs/serial_limo02.csv,serial_limo02.csv,HWS-119-FIFO,FIFO,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-119-FIFO/logs/serial_server.csv,serial_server.csv,HWS-119-FIFO,FIFO,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-120-BACS/fused_HWS-120-BACS.csv,fused_HWS-120-BACS.csv,HWS-120-BACS,BACS,,csv,1326742,0b7072b804d77399f08fd8311fc96cf7861cc5b6cee0e1025e3bcb9ee6446d25,VALID
HWS-120-BACS/logs/candidates_limo01.csv,candidates_limo01.csv,HWS-120-BACS,BACS,limo01,csv,89016,cd787477009facd64d564818e4f369f90a4c85d9903b250b3ed62d11b051517e,VALID
HWS-120-BACS/logs/candidates_limo02.csv,candidates_limo02.csv,HWS-120-BACS,BACS,limo02,csv,89012,de91ac36f63a3f5585d1a0767e72594285cfa020512a0ab91b5e1a32350afb5a,VALID
HWS-120-BACS/logs/clock_limo01_end.txt,clock_limo01_end.txt,HWS-120-BACS,BACS,limo01,txt,17,89306ffd5c1cfd4af7bf1dd5d1bbd2e524e33d6a4e09f730c8f4a71386e09c00,VALID
HWS-120-BACS/logs/clock_limo01_start.txt,clock_limo01_start.txt,HWS-120-BACS,BACS,limo01,txt,18,e71b7a6417b92a881e383832f67ca9669aad637028ed92397982ddf69937db0d,VALID
HWS-120-BACS/logs/clock_limo02_end.txt,clock_limo02_end.txt,HWS-120-BACS,BACS,limo02,txt,18,4e3f3bbebb2b328da76160284c597ec645af6dcb3afcdc8b9438dc18a5edf1d6,VALID
HWS-120-BACS/logs/clock_limo02_start.txt,clock_limo02_start.txt,HWS-120-BACS,BACS,limo02,txt,19,a342e301a6c801f18e1978ef9ebc076e953cd87c02f68107f5d7aa1517b152eb,VALID
HWS-120-BACS/logs/received_server.csv,received_server.csv,HWS-120-BACS,BACS,,csv,599,38336a957e62a2475476028e0332356a74a2b4de240d5cb7ee32615e0aab1517,VALID
HWS-120-BACS/logs/serial_limo01.csv,serial_limo01.csv,HWS-120-BACS,BACS,limo01,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-120-BACS/logs/serial_limo02.csv,serial_limo02.csv,HWS-120-BACS,BACS,limo02,csv,361,406aeb364c24dabad415cc1aad11fbcee846504721a5a44a4454b79aa318a2ae,VALID
HWS-120-BACS/logs/serial_server.csv,serial_server.csv,HWS-120-BACS,BACS,,csv,695,5dae40fc3ca28ebf67517c0c1ec60a857a0021be7378acf70a295a0206006ff0,VALID
HWS-121-BACSPLUS/fused_HWS-121-BACSPLUS.csv,fused_HWS-121-BACSPLUS.csv,support,,,csv,1384608,9a2f302ee6d063395d6cc6479f5f060a7eba8fbfe9a55b61f13b6faa787c31c1,VALID
