seed,robots,policy,temporal_decay,candidates,selected,mean_information
18,3,BACS+,True,240,5,0.9416288477145625
18,4,FIFO,True,240,5,0.584729164810116
18,4,BACS,True,240,5,0.9004453122982318
18,4,BACS+,True,240,5,0.9416288477145625
18,5,FIFO,True,240,5,0.584729164810116
18,5,BACS,True,240,5,0.9004453122982318
18,5,BACS+,True,240,5,0.9416288477145625
19,2,FIFO,True,240,5,0.45615530152732847
19,2,BACS,True,240,5,0.9321127037059004
19,2,BACS+,True,240,5,0.9247859821730243
19,3,FIFO,True,240,5,0.45615530152732847
19,3,BACS,True,240,5,0.9321127037059004
19,3,BACS+,True,240,5,0.9247859821730243
19,4,FIFO,True,240,5,0.45615530152732847
19,4,BACS,True,240,5,0.9321127037059004
19,4,BACS+,True,240,5,0.9247859821730243
19,5,FIFO,True,240,5,0.45615530152732847
19,5,BACS,True,240,5,0.9321127037059004
19,5,BACS+,True,240,5,0.9247859821730243
20,2,FIFO,True,240,5,0.4742828553280515
20,2,BACS,True,240,5,0.9529763792335512
20,2,BACS+,True,240,5,0.9386634797462252
20,3,FIFO,True,240,5,0.4742828553280515
20,3,BACS,True,240,5,0.9529763792335512
20,3,BACS+,True,240,5,0.9386634797462252
20,4,FIFO,True,240,5,0.4742828553280515
20,4,BACS,True,240,5,0.9529763792335512
20,4,BACS+,True,240,5,0.9386634797462252
20,5,FIFO,True,240,5,0.4742828553280515
20,5,BACS,True,240,5,0.9529763792335512
20,5,BACS+,True,240,5,0.9386634797462252
21,2,FIFO,True,240,5,0.5586601894381305
21,2,BACS,True,240,5,0.9143862975954491
21,2,BACS+,True,240,5,0.9005107873690855
21,3,FIFO,True,240,5,0.5586601894381305
21,3,BACS,True,240,5,0.9143862975954491
21,3,BACS+,True,240,5,0.9005107873690855
21,4,FIFO,True,240,5,0.5586601894381305
21,4,BACS,True,240,5,0.9143862975954491
21,4,BACS+,True,240,5,0.9005107873690855
21,5,FIFO,True,240,5,0.5586601894381305
21,5,BACS,True,240,5,0.9143862975954491
21,5,BACS+,True,240,5,0.9005107873690855
22,2,FIFO,True,240,5,0.33894526141629033
22,2,BACS,True,240,5,0.8815981346053547
22,2,BACS+,True,240,5,0.8815981346053547
22,3,FIFO,True,240,5,0.33894526141629033
22,3,BACS,True,240,5,0.8815981346053547
22,3,BACS+,True,240,5,0.8815981346053547
22,4,FIFO,True,240,5,0.33894526141629033
22,4,BACS,True,240,5,0.8815981346053547
22,4,BACS+,True,240,5,0.8815981346053547
22,5,FIFO,True,240,5,0.33894526141629033
22,5,BACS,True,240,5,0.8815981346053547
22,5,BACS+,True,240,5,0.8815981346053547
23,2,FIFO,True,240,5,0.5033970842533043
23,2,BACS,True,240,5,0.9779886786845754
23,2,BACS+,True,240,5,0.9714518195591555
23,3,FIFO,True,240,5,0.5033970842533043
23,3,BACS,True,240,5,0.9779886786845754
23,3,BACS+,True,240,5,0.9714518195591555
23,4,FIFO,True,240,5,0.5033970842533043
23,4,BACS,True,240,5,0.9779886786845754
23,4,BACS+,True,240,5,0.9714518195591555
23,5,FIFO,True,240,5,0.5033970842533043
23,5,BACS,True,240,5,0.9779886786845754
23,5,BACS+,True,240,5,0.9714518195591555
24,2,FIFO,True,240,5,0.5004839916621677
24,2,BACS,True,240,5,0.958316518245112
24,2,BACS+,True,240,5,0.9373002202043381
24,3,FIFO,True,240,5,0.5004839916621677
24,3,BACS,True,240,5,0.958316518245112
24,3,BACS+,True,240,5,0.9373002202043381
24,4,FIFO,True,240,5,0.5004839916621677
24,4,BACS,True,240,5,0.958316518245112
