n_robots,seed,arm,align_rmse,pose_rmse,n_delivered,trust_yield
3,22,info_only,0.21722549607539268,0.4547430868858556,24,0.3848378315679389
3,22,bacs_gated,0.21722549607539268,0.4547430868858556,24,0.3848378315679389
3,22,plus_0.30_6,0.2014574850134847,0.5512136594165326,24,0.3761353013171191
3,23,fifo,0.5078054430393086,0.35850605789032247,24,0.3225298811002147
3,23,lifo,0.33551305877029625,0.7857905801383936,24,0.6537812059211648
3,23,random,0.14478133000131838,0.472319000118156,24,0.5160037131992472
3,23,trust_only,0.2035712070634625,0.4691783442696363,24,0.40850735514314085
3,23,info_only,0.1665489117372757,0.42401876957459816,24,0.34089540754708053
3,23,bacs_gated,0.1665489117372757,0.42401876957459816,24,0.34089540754708053
3,23,plus_0.30_6,0.1681184396505506,0.45413845294794497,24,0.323905047463176
3,24,fifo,0.45405109677627453,0.4726169159521068,24,0.367113326912234
3,24,lifo,0.20413809135299585,0.5556261193442094,24,0.7257086519344235
3,24,random,0.31703546132729343,0.737785723046274,24,0.3008374168538186
3,24,trust_only,0.2272404466570542,0.8213141248182398,24,0.31710256865263636
3,24,info_only,0.24666978291751454,0.7536583542305393,24,0.3408390452512722
3,24,bacs_gated,0.24666978291751454,0.7536583542305393,24,0.3408390452512722
3,24,plus_0.30_6,0.2171807768116782,0.6912958916558279,24,0.3460501585527031
3,25,fifo,0.3416579372585363,0.19037334939393177,24,0.45401630345358956
3,25,lifo,0.23518271352496212,0.34570951311897496,24,0.6686819628735484
3,25,random,0.21340923242590779,0.19656980443718797,24,0.38308318408655423
3,25,trust_only,0.4793273518744265,0.5242266426966151,24,0.44731462987986026
3,25,info_only,0.22856862014877646,0.39302696201731224,24,0.36924408924983537
3,25,bacs_gated,0.22856862014877646,0.39302696201731224,24,0.36924408924983537
3,25,plus_0.30_6,0.24310332721495428,0.3284333954662731,24,0.30632220325548437
3,26,fifo,0.25434022279783597,0.7880614296292195,24,0.3693058419828265
3,26,lifo,0.1876224650081511,0.5690529902695807,24,0.660268902703446
3,26,random,0.22619470002566747,0.30067962097330236,24,0.331785399978546
3,26,trust_only,0.9112431571912524,0.5286904003701932,24,0.3838817638852239
3,26,info_only,0.2177877895333375,0.40836529984981457,24,0.35821170986917483
3,26,bacs_gated,0.2177877895333375,0.40836529984981457,24,0.35821170986917483
3,26,plus_0.30_6,0.23295804959797795,0.3924918580002371,24,0.3617663598377818
3,27,fifo,0.23746439664101332,0.3117990920661293,24,0.44211744421165505
3,27,lifo,0.20327248504922737,0.46027315890510445,24,0.7295422353525037
3,27,random,0.3568267719378964,0.2833009295858169,24,0.4376992818211254
3,27,trust_only,0.1399525808249953,0.3004169005655647,24,0.5019016229427304
3,27,info_only,0.12637974445766934,0.2601771152855772,24,0.4672207919877424
3,27,bacs_gated,0.12637974445766934,0.2601771152855772,24,0.4672207919877424
3,27,plus_0.30_6,0.15678247537694937,0.30359494169682066,24,0.44050537527275946
3,28,fifo,0.3804896285994246,0.5239607554194525,24,0.35065031551185016
3,28,lifo,0.2371201835964128,1.1566447251279475,24,0.5875990247877564
3,28,random,0.40697564721193613,1.0288536009557783,24,0.27837222072768
3,28,trust_only,0.3998397152507938,0.7483851399003665,24,0.5120796224891645
3,28,info_only,0.28578608464587846,0.5068090086531694,24,0.4230673020312392
3,28,bacs_gated,0.28578608464587846,0.5068090086531694,24,0.4230673020312392
3,28,plus_0.30_6,0.2831869585543888,0.4955699008171432,24,0.3837771225308721
3,29,fifo,0.3608818939071629,0.3387322018147959,24,0.43468932195742266
3,29,lifo,0.2161669792714633,0.556373315186713,24,0.6084406276824222
3,29,random,0.16812991698020627,0.2506660551722995,24,0.42002985584368274
3,29,trust_only,0.183908932252641,0.4672393207122545,24,0.5423852514487928
3,29,info_only,0.31482331301648736,0.5034120411300679,24,0.4290499494556374
3,29,bacs_gated,0.31482331301648736,0.5034120411300679,24,0.4290499494556374
3,29,plus_0.30_6,0.24028475980782388,0.34828862616985373,24,0.416236876634793
3,30,fifo,0.7450596566900063,0.55418064448397,24,0.43875487962412046
3,30,lifo,0.3305200666011914,0.3575112316349788,24,0.6718334008027691
3,30,random,0.35218811272697104,0.30328753305754375,24,0.34903144876929754
3,30,trust_only,0.904816017782319,0.8287803901999595,24,0.37947818064939404
3,30,info_only,0.24544025420558038,0.5956422605937364,24,0.2765022044405381
3,30,bacs_gated,0.24544025420558038,0.5956422605937364,24,0.2765022044405381
3,30,plus_0.30_6,0.2467393519575827,0.6080812970957011,24,0.27303384497498734
3,31,fifo,0.3417876264960896,0.33669906580109693,24,0.37677605591240065
3,31,lifo,0.18096270782535437,0.2795640705290002,24,0.7060409561667201
3,31,random,0.13304179202927877,0.40105446114730214,24,0.5751683673293525
3,31,trust_only,0.2010007613188729,0.24108306390670128,24,0.5641950896265743
3,31,info_only,0.15519807145202194,0.2558334044577859,24,0.5265002115439613
3,31,bacs_gated,0.15519807145202194,0.2558334044577859,24,0.5265002115439613
3,31,plus_0.30_6,0.14664621601008795,0.22115472748253628,24,0.5632571901558979
3,32,fifo,0.33487696163356206,0.19448649073511604,24,0.27275897793974424
3,32,lifo,0.17314212875694807,0.20815064923790308,24,0.7319808193144683
