seed,n_robots,w_obs,obs_ref,gamma_rule,variant,align_rmse,pose_rmse,n_delivered,frozen_plus_0.60_5,frozen_plus_0.30_6,matches_frozen_0.60_5,matches_frozen_0.30_6
10,2,0.75,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.75,5,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.75,6,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,0.75,8,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.75,10,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.9,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.9,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.9,5,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,0.9,6,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,0.9,8,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.9,10,deferral_derived,current,0.19837066431176378,0.5492955202605023,32,0.1830537300791262,0.2280285760383981,False,False
10,2,1.0,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,1.0,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,1.0,5,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,1.0,6,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,1.0,8,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,1.0,10,deferral_derived,current,0.19837066431176378,0.5492955202605023,32,0.1830537300791262,0.2280285760383981,False,False
10,2,1.2,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,1.2,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,1.2,5,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,1.2,6,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,1.2,8,deferral_derived,current,0.19837066431176378,0.5492955202605023,32,0.1830537300791262,0.2280285760383981,False,False
10,2,1.2,10,deferral_derived,current,0.19837066431176378,0.5492955202605023,32,0.1830537300791262,0.2280285760383981,False,False
11,3,0.3,3,deferral_derived,current,0.16680664813241114,0.2340180817308288,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,4,deferral_derived,current,0.16680664813241114,0.2340180817308288,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,5,deferral_derived,current,0.1634140634587887,0.23505552380176392,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,6,deferral_derived,current,0.1674037411985398,0.2410529277065674,24,0.2536021929275199,0.1674037411985398,False,True
11,3,0.3,8,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,10,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.45,3,deferral_derived,current,0.16680664813241114,0.2340180817308288,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.45,4,deferral_derived,current,0.16429205097046093,0.2366206298683057,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.45,5,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.45,6,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.45,8,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.45,10,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.5,3,deferral_derived,current,0.16680664813241114,0.2340180817308288,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.5,4,deferral_derived,current,0.1674037411985398,0.2410529277065674,24,0.2536021929275199,0.1674037411985398,False,True
11,3,0.5,5,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.5,6,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.5,8,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.5,10,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.6,3,deferral_derived,current,0.1634140634587887,0.23505552380176392,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.6,4,deferral_derived,current,0.1674037411985398,0.2410529277065674,24,0.2536021929275199,0.1674037411985398,False,True
11,3,0.6,5,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.6,6,deferral_derived,current,0.17186983747554704,0.2272133981775778,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.6,8,deferral_derived,current,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
